block,state,district
porlob island,andaman & nicobar,
aves island,andaman & nicobar,
bampooka island,andaman & nicobar,
tillangchang island,andaman & nicobar,
pulo milo island,andaman & nicobar,
kamorta island,andaman & nicobar,
nancowrie island,andaman & nicobar,
flatbay island,andaman & nicobar,
north sentinnel island,andaman & nicobar,
anantapur mandal,andhra pradesh,
bukkarayasamudram,andhra pradesh,
chenne kothapalle,andhra pradesh,
d hirchal,andhra pradesh,
peddapappur,andhra pradesh,
penu konda,andhra pradesh,
baireddi palle,andhra pradesh,
buchinaidu khandri,andhra pradesh,
chittoor mandal,andhra pradesh,
peddathippasamudra,andhra pradesh,
rama kuppam,andhra pradesh,
santhi puram,andhra pradesh,
veduru kuppam,andhra pradesh,
venkatagiri kota,andhra pradesh,
vijaya puram,andhra pradesh,
yarravaripalem,andhra pradesh,
anaparthi,andhra pradesh,
gangavaram (east god,andhra pradesh,
kothapallee,andhra pradesh,
pamarru (east godavar,andhra pradesh,
prathipadu (east godav,andhra pradesh,
vararamachandrapur,andhra pradesh,
guntur mandal,andhra pradesh,
kollur,andhra pradesh,
nakarikallu,andhra pradesh,
narasaraopeta,andhra pradesh,
rompicherla (guntur),andhra pradesh,
thadepalle,andhra pradesh,
tsundur,andhra pradesh,
chaknayapet,andhra pradesh,
chintha kommadinne,andhra pradesh,
cuddapah mandal,andhra pradesh,
proddutur,andhra pradesh,
raju palem,andhra pradesh,
royachoti,andhra pradesh,
sri avadhutha kasinaya,andhra pradesh,
thandur,andhra pradesh,
avanigada,andhra pradesh,
gudur (krishna),andhra pradesh,
kaikalur,andhra pradesh,
kanchika cherla,andhra pradesh,
mudinapalle,andhra pradesh,
mylavaram (krishna),andhra pradesh,
vissannapet,andhra pradesh,
atmakur (kurnool),andhra pradesh,
gudur (kurnool),andhra pradesh,
kurnool mandal,andhra pradesh,
nandi kotkur,andhra pradesh,
pattikanda,andhra pradesh,
veldurthi (kurnool),andhra pradesh,
atmakur (nellore),andhra pradesh,
bucchireddipalem,andhra pradesh,
kondapuram (nellore),andhra pradesh,
nellore mandal,andhra pradesh,
podlakur,andhra pradesh,
ballikuruva,andhra pradesh,
bestavaripeta,andhra pradesh,
chadrasekarapuram,andhra pradesh,
giddaluru,andhra pradesh,
janakavarampangulu,andhra pradesh,
martur,andhra pradesh,
parchur,andhra pradesh,
pedaaraveedu,andhra pradesh,
santhanuthlapadu,andhra pradesh,
tarlapadu,andhra pradesh,
thallur,andhra pradesh,
yeddanapudi,andhra pradesh,
zarugumilli,andhra pradesh,
ganguvari singadam,andhra pradesh,
kotabommal,andhra pradesh,
laxminarasampet,andhra pradesh,
regidiamadalavalasa,andhra pradesh,
srikakulam mandal,andhra pradesh,
devarapalle (visakhapa,andhra pradesh,
gangaraju madugula,andhra pradesh,
gudem kothaveedhi,andhra pradesh,
gvmc(gajuwaka),andhra pradesh,
gvmc(pedagantyada),andhra pradesh,
gvmc(visakhapatnam_r,andhra pradesh,
gvmc(visakhapatnam_u,andhra pradesh,
munchingiputtu,andhra pradesh,
pedabayalu,andhra pradesh,
yelamanchili (visakhapa,andhra pradesh,
balajipeta,andhra pradesh,
bhoghapuram,andhra pradesh,
jiyyamma valasa,andhra pradesh,
seethanagaram (vizian,andhra pradesh,
vizianagaram mandal,andhra pradesh,
akiveedu,andhra pradesh,
jeelugumilli,andhra pradesh,
padavegi,andhra pradesh,
thallapudi,andhra pradesh,
unguturu (west godav,andhra pradesh,
velairpad,andhra pradesh,
kamrup metro (rural part),assam,
urban area,assam,
morigaon,assam,
bhargawan,bihar,
kruskanta,bihar,
forbisganj,bihar,
bansi surujpur,bihar,
chandan,bihar,
rajun,bihar,
mansur chowk,bihar,
bachhawara,bihar,
chhaurahi,bihar,
bakhari,bihar,
bhabhua,bihar,
koilbar,bihar,
agaiyon,bihar,
simari,bihar,
chaungai,bihar,
